iter	Passed	Remaining
0	83	83048
1	84	42016
2	85	28269
3	85	21402
4	86	17268
5	87	14539
6	88	12588
7	89	11095
8	90	9944
9	91	9021
10	91	8267
11	92	7651
12	94	7141
13	94	6689
14	95	6286
15	96	5934
16	97	5625
17	98	5369
18	99	5135
19	100	4917
20	101	4723
21	102	4545
22	103	4379
23	104	4231
24	105	4102
25	106	3974
26	106	3848
27	107	3732
28	108	3624
29	108	3521
30	109	3429
31	110	3347
32	112	3295
33	113	3222
34	114	3151
35	115	3080
36	115	3017
37	116	2959
38	117	2899
39	118	2841
40	119	2786
41	119	2733
42	120	2682
43	121	2635
44	122	2596
45	123	2554
46	123	2511
47	124	2473
48	125	2437
49	126	2400
50	127	2370
51	128	2342
52	129	2312
53	130	2281
54	131	2251
55	131	2221
56	132	2192
57	133	2168
58	134	2143
59	135	2116
60	135	2091
61	136	2070
62	137	2047
63	138	2024
64	139	2003
65	140	1985
66	141	1963
67	141	1944
68	142	1924
69	143	1906
70	144	1887
71	145	1871
72	146	1856
73	147	1839
74	147	1822
75	148	1806
76	149	1790
77	150	1774
78	150	1759
79	152	1748
80	152	1733
81	153	1718
82	153	1701
83	154	1687
84	155	1674
85	156	1661
86	157	1650
87	158	1642
88	159	1630
89	160	1618
90	160	1606
91	161	1595
92	162	1585
93	163	1576
94	164	1567
95	165	1555
96	165	1544
97	166	1533
98	167	1523
99	168	1513
100	168	1502
101	169	1495
102	170	1487
103	171	1478
104	172	1469
105	173	1459
106	173	1450
107	174	1443
108	175	1437
109	176	1429
110	177	1421
111	178	1414
112	179	1406
113	179	1398
114	180	1391
115	181	1385
116	182	1378
117	183	1371
118	184	1364
119	185	1357
120	185	1350
121	186	1343
122	187	1338
123	188	1333
124	189	1327
125	190	1321
126	191	1314
127	192	1309
128	193	1303
129	194	1299
130	195	1293
131	195	1287
132	196	1281
133	197	1276
134	198	1271
135	199	1266
136	200	1263
137	201	1258
138	202	1253
139	203	1248
140	204	1243
141	204	1238
142	206	1235
143	207	1231
144	208	1226
145	208	1222
146	209	1217
147	210	1212
148	211	1210
149	212	1206
150	213	1202
151	214	1198
152	215	1195
153	216	1191
154	218	1188
155	219	1185
156	220	1181
157	220	1176
158	221	1172
159	222	1168
160	223	1164
161	224	1161
162	225	1156
163	226	1152
164	226	1147
165	227	1143
166	228	1140
167	229	1138
168	230	1135
169	231	1131
170	232	1128
171	233	1124
172	234	1121
173	235	1120
174	236	1116
175	237	1112
176	238	1109
177	239	1106
178	240	1103
179	241	1102
180	242	1099
181	243	1095
182	244	1092
183	245	1088
184	246	1085
185	247	1082
186	248	1079
187	249	1076
188	250	1072
189	250	1069
190	251	1065
191	252	1063
192	253	1060
193	254	1058
194	255	1055
195	256	1052
196	257	1049
197	258	1046
198	259	1044
199	260	1041
200	261	1038
201	262	1035
202	263	1033
203	264	1030
204	265	1028
205	266	1025
206	267	1023
207	268	1020
208	268	1017
209	269	1015
210	270	1012
211	271	1010
212	272	1007
213	273	1005
214	274	1002
215	275	1000
216	276	998
217	277	996
218	278	993
219	279	991
220	280	988
221	281	986
222	282	984
223	283	982
224	284	979
225	285	977
226	286	975
227	287	972
228	288	970
229	289	970
230	291	968
231	291	966
232	293	964
233	294	962
234	295	961
235	296	959
236	297	957
237	298	955
238	299	954
239	301	953
240	302	952
241	303	950
242	304	948
243	305	946
244	306	944
245	307	943
246	309	942
247	310	940
248	311	938
249	311	935
250	313	934
251	314	932
252	314	929
253	315	927
254	316	925
255	317	922
256	318	921
257	319	919
258	320	917
259	321	914
260	322	912
261	322	909
262	323	907
263	325	906
264	325	904
265	326	901
266	327	899
267	328	897
268	329	895
269	330	893
270	331	891
271	332	889
272	333	886
273	333	884
274	334	882
275	335	879
276	336	878
277	337	876
278	338	874
279	339	872
280	340	871
281	341	869
282	342	867
283	343	865
284	344	864
285	345	862
286	346	859
287	346	857
288	347	855
289	348	853
290	349	851
291	350	849
292	351	847
293	352	845
294	353	843
295	353	841
296	354	839
297	355	838
298	356	835
299	357	833
300	358	831
301	358	829
302	359	827
303	360	826
304	361	824
305	362	822
306	363	820
307	364	819
308	365	817
309	366	815
310	367	814
311	368	812
312	369	810
313	369	807
314	370	805
315	371	803
316	372	802
317	373	800
318	374	799
319	375	796
320	376	795
321	376	793
322	377	791
323	378	790
324	379	788
325	380	787
326	381	785
327	382	783
328	383	781
329	383	779
330	385	778
331	386	777
332	387	775
333	388	774
334	389	772
335	390	770
336	391	769
337	392	769
338	393	767
339	394	766
340	395	765
341	396	763
342	398	762
343	399	761
344	399	759
345	400	757
346	401	756
347	402	754
348	403	753
349	405	752
350	405	750
351	406	748
352	407	747
353	408	745
354	409	744
355	410	743
356	411	741
357	412	740
358	413	738
359	415	737
360	416	737
361	417	735
362	418	734
363	419	733
364	420	731
365	421	730
366	422	729
367	423	728
368	424	726
369	426	725
370	427	724
371	428	723
372	429	721
373	430	720
374	431	718
375	431	716
376	432	715
377	433	713
378	434	712
379	435	710
380	436	709
381	437	708
382	438	706
383	439	705
384	440	704
385	441	702
386	442	701
387	444	700
388	445	699
389	446	697
390	447	696
391	448	694
392	449	693
393	450	692
394	451	690
395	452	689
396	453	688
397	454	686
398	455	685
399	457	685
400	458	684
401	459	683
402	460	682
403	461	680
404	462	679
405	463	678
406	465	677
407	465	675
408	466	674
409	467	673
410	469	672
411	470	671
412	471	669
413	472	668
